iter	Passed	Remaining
0	57	57237
1	112	55868
2	166	55164
3	228	56932
4	281	55902
5	333	55221
6	396	56212
7	456	56570
8	512	56362
9	568	56187
10	619	55630
11	671	55219
12	722	54785
13	773	54386
14	824	54094
15	875	53777
16	925	53483
17	978	53307
18	1025	52915
19	1077	52768
20	1128	52570
21	1178	52336
22	1231	52260
23	1283	52139
24	1333	51946
25	1385	51833
26	1436	51697
27	1487	51592
28	1539	51487
29	1595	51549
30	1649	51498
31	1702	51454
32	1784	52250
33	1872	53139
34	1924	53016
35	1976	52861
36	2027	52716
37	2080	52609
38	2132	52489
39	2187	52436
40	2241	52376
41	2293	52256
42	2345	52150
43	2401	52132
44	2455	52061
45	2514	52085
46	2574	52144
47	2630	52119
48	2686	52078
49	2745	52110
50	2804	52134
51	2864	52176
52	2918	52087
53	2970	51988
54	3022	51879
55	3072	51735
56	3123	51619
57	3175	51516
58	3226	51409
59	3280	51332
60	3331	51230
61	3384	51143
62	3436	51052
63	3489	50977
64	3538	50850
65	3589	50736
66	3639	50633
67	3692	50549
68	3743	50457
69	3795	50378
70	3851	50335
71	3906	50300
72	3961	50254
73	4016	50210
74	4069	50142
75	4119	50028
76	4170	49932
77	4220	49829
78	4270	49726
79	4324	49674
80	4375	49592
81	4426	49499
82	4478	49421
83	4532	49371
84	4584	49296
85	4635	49207
86	4686	49132
87	4748	49156
88	4801	49096
89	4855	49037
90	4911	49005
91	4970	49001
92	5020	48912
93	5073	48845
94	5127	48791
95	5183	48753
96	5233	48668
97	5285	48595
98	5337	48526
99	5390	48465
100	5444	48405
101	5497	48347
102	5549	48273
103	5601	48200
104	5650	48106
105	5703	48047
106	5751	47947
107	5803	47874
108	5854	47800
109	5906	47732
110	5958	47664
111	6013	47625
112	6061	47529
113	6114	47467
114	6173	47451
115	6227	47402
116	6278	47330
117	6328	47251
118	6378	47171
119	6431	47108
120	6482	47037
121	6534	46971
122	6584	46895
123	6635	46822
124	6687	46757
125	6739	46695
126	6789	46615
127	6842	46561
128	6894	46499
129	6947	46440
130	6997	46363
131	7048	46295
132	7097	46216
133	7156	46194
134	7208	46136
135	7265	46104
136	7320	46058
137	7385	46078
138	7448	46081
139	7509	46076
140	7562	46021
141	7617	45973
142	7672	45930
143	7724	45866
144	7774	45790
145	7823	45706
146	7873	45634
147	7924	45568
148	7979	45523
149	8039	45503
150	8094	45457
151	8150	45418
152	8204	45367
153	8262	45338
154	8325	45335
155	8383	45303
156	8439	45260
157	8495	45221
158	8548	45163
159	8601	45102
160	8654	45047
161	8706	44981
162	8755	44907
163	8803	44825
164	8855	44758
165	8906	44691
166	8958	44631
167	9008	44560
168	9058	44488
169	9108	44416
170	9159	44351
171	9211	44289
172	9263	44230
173	9316	44174
174	9371	44128
175	9423	44065
176	9476	44007
177	9533	43971
178	9583	43903
179	9634	43838
180	9687	43782
181	9747	43758
182	9803	43713
183	9860	43677
184	9916	43633
185	9970	43582
186	10025	43534
187	10079	43482
188	10138	43448
189	10191	43396
190	10247	43351
191	10299	43291
192	10354	43240
193	10407	43185
194	10461	43133
195	10514	43077
196	10567	43021
197	10623	42975
198	10680	42938
199	10737	42898
200	10791	42843
201	10848	42804
202	10902	42749
203	10962	42720
204	11019	42679
205	11073	42627
206	11130	42584
207	11189	42553
208	11243	42501
209	11301	42462
210	11359	42422
211	11418	42387
212	11473	42337
213	11524	42275
214	11581	42233
215	11635	42177
216	11692	42135
217	11742	42066
218	11797	42018
219	11850	41963
